"id";"pieza_ordenador";"precio";"pais_origen"
"   KCNPT  ";"Memoria RAM, Kingston";"420,97 TL";"Tailandia"
"  C7QX2   ";"Tarjeta gráfica, NVIDIA";"205,20 £";"China"
"  N01EX   ";"Disco duro, Seagate";"346,70 TL";"Estados Unidos"
"  G4VKE ";"Placa base, ASUS";"453,94 £";"Corea del Sur"
"  1VUU9   ";"Procesador, Intel";"732,14 £";"Taiwán"
" VI5U5  ";"Tarjeta gráfica, NVIDIA";"962,59 €";"Taiwán"
"  NG8JD ";"Tarjeta gráfica, NVIDIA";"302,55 €";"Corea del Sur"
"   81WBM  ";"Procesador, Intel";"235,48 £";"Tailandia"
"  YMZPG   ";"Memoria RAM, Kingston";"220,61 TL";"Taiwán"
"   YV3EP ";"Disco duro, Seagate";"578,27 €";"Estados Unidos"
" 7YCI6   ";"Disco duro, Seagate";"953,11 TL";"Estados Unidos"
"   QPQLB ";"Disco duro, Seagate";"656,34 €";"Tailandia"
"   0YLID  ";"Placa base, ASUS";"497,35 TL";"Corea del Sur"
"   YICAW ";"Memoria RAM, Kingston";"291,56 £";"Taiwán"
"   CV8UG ";"Tarjeta gráfica, NVIDIA";"986,39 TL";"Estados Unidos"
"  QRGKP ";"Tarjeta gráfica, NVIDIA";"Km292,94 TL";"Taiwán"
"  308UT  ";"Disco duro, Seagate";"775,59 TL";"Corea del Sur"
" USV46   ";"Tarjeta gráfica, NVIDIA";"Y348,67 TL";"China"
"   L6IRG   ";"Placa base, ASUS";"405,44 £";"Tailandia"
"   4KASG ";"Tarjeta gráfica, NVIDIA";"252,45 TL";"Estados Unidos"
" WEXZJ ";"Disco duro, Seagate";"421,67 £";"Estados Unidos"
"   TK02P   ";"Disco duro, Seagate";"240,90 €";"Taiwán"
"  EVDGJ  ";"Tarjeta gráfica, NVIDIA";"665,62 £";"China"
" 7K0HL  ";"Placa base, ASUS";"509,58 £";"China"
"   SROL5  ";"Disco duro, Seagate";"225,28 £";"Taiwán"
" 4QWYJ  ";"Tarjeta gráfica, NVIDIA";"103,32 €";"Corea del Sur"
" 9IWRE ";"Memoria RAM, Kingston";"S103,94 €";"Estados Unidos"
"   THX0G   ";"Placa base, ASUS";"648,57 TL";"Tailandia"
"   BT3JI   ";"Memoria RAM, Kingston";"B906,52 €";"China"
"   J8JW6   ";"Placa base, ASUS";"288,51 €";"China"
"  R0SK7  ";"Disco duro, Seagate";"729,34 €";"Tailandia"
"  38OVU  ";"Disco duro, Seagate";"990,99 €";"Estados Unidos"
"   FJTCE  ";"Procesador, Intel";"906,99 TL";"Tailandia"
" ZP89J ";"Placa base, ASUS";"174,74 €";"Taiwán"
"  OCQJT   ";"Procesador, Intel";"449,47 €";"Taiwán"
" Y3O0D  ";"Procesador, Intel";"727,35 TL";"China"
"  LUA4P  ";"Memoria RAM, Kingston";"358,93 TL";"Corea del Sur"
"  6C7HK   ";"Disco duro, Seagate";"387,50 TL";"Estados Unidos"
" I4ZEF ";"Placa base, ASUS";"136,17 £";"Estados Unidos"
" 51O5F   ";"Disco duro, Seagate";"939,71 £";"Tailandia"
"  MJAH6 ";"Memoria RAM, Kingston";"a752,80 TL";"Corea del Sur"
"   AGP6U ";"Placa base, ASUS";"364,29 £";"Estados Unidos"
"  0FGM5 ";"Procesador, Intel";"876,51 €";"Corea del Sur"
" 5ZIGX   ";"Tarjeta gráfica, NVIDIA";"X647,80 £";"China"
"   CXMBP  ";"Procesador, Intel";"541,70 TL";"Tailandia"
"   7J1DS  ";"Tarjeta gráfica, NVIDIA";"566,30 £";"Estados Unidos"
" 168WA  ";"Disco duro, Seagate";"297,78 €";"Corea del Sur"
"   YJNAE  ";"Disco duro, Seagate";"957,35 £";"Estados Unidos"
" W3BLD   ";"Tarjeta gráfica, NVIDIA";"61,44 TL";"Taiwán"
"   K6SD7 ";"Memoria RAM, Kingston";"952,84 TL";"Taiwán"
" YSLDM  ";"Memoria RAM, Kingston";"471,85 TL";"China"
"  WW7O7 ";"Procesador, Intel";"r784,61 TL";"Corea del Sur"
" ZJETS  ";"Tarjeta gráfica, NVIDIA";"987,96 €";"Taiwán"
" 3GL9O   ";"Procesador, Intel";"759,65 TL";"Taiwán"
"  MX5RV  ";"Procesador, Intel";"172,36 £";"Estados Unidos"
" 5FX45 ";"Placa base, ASUS";"268,28 £";"Taiwán"
"  16W4S  ";"Tarjeta gráfica, NVIDIA";"754,39 €";"Corea del Sur"
" AL8IR  ";"Disco duro, Seagate";"328,14 TL";"Tailandia"
"   PQP3E   ";"Placa base, ASUS";"201,91 €";"Estados Unidos"
"  T6V5Z   ";"Placa base, ASUS";"34,75 £";"Corea del Sur"
"  5DZH0   ";"Tarjeta gráfica, NVIDIA";"881,39 €";"Tailandia"
"  UDVIY   ";"Placa base, ASUS";"335,94 £";"China"
"   YOPNT   ";"Disco duro, Seagate";"a782,86 TL";"China"
" YRVTF  ";"Procesador, Intel";"50,18 €";"Taiwán"
" FUOPZ ";"Tarjeta gráfica, NVIDIA";"706,36 TL";"Taiwán"
" IILD3  ";"Disco duro, Seagate";"99,90 TL";"Tailandia"
" FDJAQ  ";"Disco duro, Seagate";"160,80 TL";"Estados Unidos"
"   59GL3 ";"Procesador, Intel";"978,72 €";"Taiwán"
"   WB0X0  ";"Placa base, ASUS";"Z876,86 TL";"Corea del Sur"
" PMTVD ";"Memoria RAM, Kingston";"155,20 TL";"Estados Unidos"
"  FAER5  ";"Tarjeta gráfica, NVIDIA";"363,77 €";"China"
"   O7XWE  ";"Memoria RAM, Kingston";"138,71 TL";"Estados Unidos"
"   G5MCS ";"Tarjeta gráfica, NVIDIA";"u818,73 €";"Estados Unidos"
"  4KPAJ  ";"Placa base, ASUS";"130,79 €";"Tailandia"
"  IOL56 ";"Disco duro, Seagate";"Q932,84 TL";"China"
"   ZIINV  ";"Disco duro, Seagate";"601,49 TL";"Corea del Sur"
"  JQDD2 ";"Disco duro, Seagate";"195,56 TL";"Estados Unidos"
"   UQXJ0   ";"Tarjeta gráfica, NVIDIA";"11,72 TL";"Taiwán"
" 6UM75   ";"Placa base, ASUS";"348,35 £";"Corea del Sur"
"   MFXVF ";"Placa base, ASUS";"88,23 €";"Tailandia"
" 52Y9E ";"Memoria RAM, Kingston";"711,15 TL";"Taiwán"
"   BWWDX  ";"Disco duro, Seagate";"980,10 €";"Corea del Sur"
" 7XFS6 ";"Placa base, ASUS";"834,79 £";"Tailandia"
"  NH8HI ";"Tarjeta gráfica, NVIDIA";"298,28 £";"Estados Unidos"
"  2NODZ ";"Tarjeta gráfica, NVIDIA";"85,55 TL";"Estados Unidos"
"  O7G6M ";"Placa base, ASUS";"312,11 €";"Corea del Sur"
"  4NO2V   ";"Placa base, ASUS";"825,48 €";"Corea del Sur"
"   ULJ63  ";"Procesador, Intel";"800,74 €";"Estados Unidos"
"  MQEB2   ";"Placa base, ASUS";"71,87 TL";"Corea del Sur"
"   PUN54   ";"Procesador, Intel";"T29,77 €";"Taiwán"
"   4EUBD   ";"Placa base, ASUS";"k842,74 €";"China"
"   5XT93   ";"Procesador, Intel";"965,36 €";"China"
" 6LCWP  ";"Memoria RAM, Kingston";"710,90 €";"Corea del Sur"
"   DIJVC   ";"Tarjeta gráfica, NVIDIA";"216,24 £";"Estados Unidos"
"  KWOOC ";"Disco duro, Seagate";"174,95 TL";"Estados Unidos"
"   R1Z4T ";"Procesador, Intel";"787,28 £";"Taiwán"
"   3CXW9   ";"Placa base, ASUS";"502,99 TL";"Estados Unidos"
"  W62DE   ";"Memoria RAM, Kingston";"968,60 £";"Corea del Sur"
"  UMJCH ";"Memoria RAM, Kingston";"504,55 £";"China"
"  7DA8E  ";"Procesador, Intel";"503,76 €";"Taiwán"
"  DAX3I ";"Placa base, ASUS";"25,79 TL";"Taiwán"
"  X7DN2   ";"Procesador, Intel";"373,38 €";"Corea del Sur"
"  YPD0E   ";"Procesador, Intel";"442,55 TL";"Estados Unidos"
" H4AZ5  ";"Tarjeta gráfica, NVIDIA";"216,65 €";"Tailandia"
" M5DTH  ";"Tarjeta gráfica, NVIDIA";"409,48 €";"China"
"  HMNRK  ";"Procesador, Intel";"971,81 TL";"Tailandia"
"   9F39R  ";"Placa base, ASUS";"854,51 £";"China"
"   DD0AE ";"Procesador, Intel";"290,67 £";"Estados Unidos"
"  E6P82  ";"Tarjeta gráfica, NVIDIA";"917,19 TL";"Estados Unidos"
" RL83P   ";"Tarjeta gráfica, NVIDIA";"224,28 €";"China"
"  UONPB   ";"Procesador, Intel";"119,97 €";"China"
" GP22B ";"Memoria RAM, Kingston";"378,91 TL";"Tailandia"
"  HNHUU  ";"Tarjeta gráfica, NVIDIA";"654,75 €";"China"
" WWQ6D ";"Disco duro, Seagate";"221,10 €";"China"
"  XUY5Y  ";"Disco duro, Seagate";"699,21 €";"China"
"  2XPMK  ";"Memoria RAM, Kingston";"895,87 €";"China"
" KNOVQ  ";"Memoria RAM, Kingston";"133,34 £";"Corea del Sur"
" R2IEQ ";"Placa base, ASUS";"471,10 £";"Estados Unidos"
" KAUR6  ";"Tarjeta gráfica, NVIDIA";"241,92 €";"Taiwán"
"   U9INJ ";"Procesador, Intel";"P409,51 TL";"Tailandia"
"   79KOU ";"Placa base, ASUS";"20,60 TL";"Estados Unidos"
" 742I1  ";"Placa base, ASUS";"702,85 £";"China"
"  DICDD ";"Tarjeta gráfica, NVIDIA";"422,36 £";"Estados Unidos"
" DLZ9I   ";"Disco duro, Seagate";"304,55 £";"Tailandia"
"   LUCMC ";"Disco duro, Seagate";"513,27 £";"Corea del Sur"
"   DKEYB ";"Tarjeta gráfica, NVIDIA";"Z40,46 TL";"Tailandia"
"   TDMUM   ";"Disco duro, Seagate";"63,63 TL";"China"
"  NSGVR  ";"Disco duro, Seagate";"543,77 £";"Taiwán"
"   2J8U7 ";"Memoria RAM, Kingston";"998,54 €";"Tailandia"
" GOFLN ";"Disco duro, Seagate";"964,72 £";"Taiwán"
"   7CD7V  ";"Disco duro, Seagate";"515,26 £";"Taiwán"
" OA16E  ";"Procesador, Intel";"462,25 £";"Estados Unidos"
"   A81BZ ";"Procesador, Intel";"213,44 £";"Tailandia"
" 4GZKI ";"Placa base, ASUS";"67,52 €";"Tailandia"
"  F8F89  ";"Tarjeta gráfica, NVIDIA";"919,70 €";"Estados Unidos"
"   XZXQZ   ";"Placa base, ASUS";"956,40 TL";"Tailandia"
"   65XZM ";"Tarjeta gráfica, NVIDIA";"455,42 £";"China"
"  W24RD ";"Disco duro, Seagate";"854,87 €";"Corea del Sur"
" 4PLTV  ";"Memoria RAM, Kingston";"145,41 TL";"Corea del Sur"
" BMFPI  ";"Tarjeta gráfica, NVIDIA";"174,41 €";"Tailandia"
" YAR0G ";"Procesador, Intel";"505,48 TL";"Estados Unidos"
" RB4SG   ";"Memoria RAM, Kingston";"752,90 TL";"Taiwán"
"  R2ZTM   ";"Procesador, Intel";"903,78 €";"Corea del Sur"
" 3HC7W   ";"Disco duro, Seagate";"121,16 TL";"Tailandia"
"  0WUCR   ";"Placa base, ASUS";"111,73 TL";"Estados Unidos"
"   Z2FH8  ";"Disco duro, Seagate";"336,83 TL";"Taiwán"
"   XBFJX  ";"Procesador, Intel";"76,92 TL";"Corea del Sur"
"  SDIWN   ";"Tarjeta gráfica, NVIDIA";"789,16 £";"Estados Unidos"
"   ZMX7Z  ";"Disco duro, Seagate";"24,67 £";"Taiwán"
" VFMQH ";"Memoria RAM, Kingston";"q589,66 £";"Corea del Sur"
"  OPH8X  ";"Memoria RAM, Kingston";"347,47 TL";"Corea del Sur"
"  BACNV  ";"Procesador, Intel";"735,52 €";"Estados Unidos"
"  KLIQ6  ";"Placa base, ASUS";"567,90 TL";"Taiwán"
" 19WEK  ";"Placa base, ASUS";"892,97 £";"China"
"   FTA39 ";"Procesador, Intel";"939,14 TL";"Corea del Sur"
"   DZGDZ   ";"Procesador, Intel";"505,81 €";"Tailandia"
" HNWKF  ";"Procesador, Intel";"527,34 €";"Corea del Sur"
"  UMAP1  ";"Procesador, Intel";"535,83 €";"Tailandia"
"  M08D0   ";"Placa base, ASUS";"856,82 €";"Taiwán"
" QXO1E  ";"Tarjeta gráfica, NVIDIA";"908,18 £";"Tailandia"
" B4GAN   ";"Placa base, ASUS";"g439,85 TL";"Corea del Sur"
"   URQP0 ";"Tarjeta gráfica, NVIDIA";"550,37 £";"Estados Unidos"
"  GD7U8  ";"Tarjeta gráfica, NVIDIA";"115,43 TL";"Tailandia"
"   TNRZP ";"Placa base, ASUS";"170,94 €";"Estados Unidos"
"  Y4ZNC   ";"Procesador, Intel";"124,47 TL";"China"
"   RVITF ";"Placa base, ASUS";"337,90 TL";"China"
"  D5BVC ";"Placa base, ASUS";"424,60 TL";"Corea del Sur"
"  IG3LW  ";"Placa base, ASUS";"y682,45 €";"Corea del Sur"
" ZA0BM ";"Disco duro, Seagate";"607,98 €";"Tailandia"
"  QQCW4  ";"Procesador, Intel";"971,71 TL";"Tailandia"
"   P39Y1 ";"Procesador, Intel";"P527,47 €";"Corea del Sur"
"  KAPXD ";"Memoria RAM, Kingston";"197,81 TL";"Taiwán"
"   BDSLU ";"Tarjeta gráfica, NVIDIA";"798,60 TL";"Estados Unidos"
" JNAOU ";"Tarjeta gráfica, NVIDIA";"657,84 £";"Corea del Sur"
"  U5C9A ";"Memoria RAM, Kingston";"240,89 €";"Taiwán"
"   60WCD   ";"Tarjeta gráfica, NVIDIA";"b798,65 £";"Tailandia"
"  YO0E6   ";"Placa base, ASUS";"152,79 TL";"China"
" KGLP5 ";"Placa base, ASUS";"112,44 TL";"Tailandia"
"  5ZLVT  ";"Procesador, Intel";"813,70 €";"China"
"   NXVSE  ";"Disco duro, Seagate";"992,17 €";"Tailandia"
"   FS99A  ";"Tarjeta gráfica, NVIDIA";"138,23 £";"Estados Unidos"
" X6X46  ";"Tarjeta gráfica, NVIDIA";"588,84 €";"Taiwán"
" R6LPE  ";"Memoria RAM, Kingston";"z968,68 £";"Corea del Sur"
"   L7AQQ ";"Disco duro, Seagate";"978,61 €";"Taiwán"
" 1I2QY   ";"Placa base, ASUS";"531,29 TL";"Tailandia"
"  HL8TB   ";"Tarjeta gráfica, NVIDIA";"641,47 £";"Estados Unidos"
"  9SYKK  ";"Tarjeta gráfica, NVIDIA";"700,68 TL";"Taiwán"
"   FGLSW  ";"Procesador, Intel";"747,69 £";"Corea del Sur"
" UCZ88   ";"Memoria RAM, Kingston";"822,53 TL";"Tailandia"
"  MWTYC  ";"Placa base, ASUS";"807,84 £";"Estados Unidos"
"   3AT4K  ";"Tarjeta gráfica, NVIDIA";"206,33 TL";"Taiwán"
" G6YMG  ";"Memoria RAM, Kingston";"E864,60 £";"Estados Unidos"
"   SL4SP   ";"Memoria RAM, Kingston";"415,23 €";"Corea del Sur"
"   ERB3S ";"Procesador, Intel";"489,21 TL";"Tailandia"
" NNZ7V ";"Disco duro, Seagate";"784,66 €";"Estados Unidos"
" JF40X ";"Disco duro, Seagate";"882,93 TL";"Tailandia"
"  M4WPY   ";"Tarjeta gráfica, NVIDIA";"185,11 TL";"Taiwán"
" TG3DO ";"Disco duro, Seagate";"57,45 TL";"Tailandia"
"  HG9EU   ";"Tarjeta gráfica, NVIDIA";"214,37 TL";"Corea del Sur"
"  MLXQV   ";"Tarjeta gráfica, NVIDIA";"801,57 TL";"Estados Unidos"
"  4FZDV   ";"Procesador, Intel";"350,15 €";"Tailandia"
" 5ROFY  ";"Placa base, ASUS";"886,38 €";"Estados Unidos"
" DYBDH ";"Disco duro, Seagate";"333,60 €";"Tailandia"
"   NMR8M  ";"Disco duro, Seagate";"390,76 £";"China"
" EJ7HI   ";"Tarjeta gráfica, NVIDIA";"602,30 £";"China"
" ZMEIF  ";"Memoria RAM, Kingston";"631,30 TL";"Tailandia"
" SSI9H ";"Memoria RAM, Kingston";"289,40 €";"Corea del Sur"
"   TEC0D  ";"Disco duro, Seagate";"161,68 £";"Taiwán"
" C8GEI  ";"Procesador, Intel";"85,20 €";"China"
"  62UXY  ";"Memoria RAM, Kingston";"574,76 £";"Corea del Sur"
" QAKAM ";"Memoria RAM, Kingston";"30,64 TL";"Taiwán"
"   VAZ45   ";"Tarjeta gráfica, NVIDIA";"383,41 €";"Corea del Sur"
"  RAGMH ";"Disco duro, Seagate";"432,87 TL";"Tailandia"
"   MNWJ2   ";"Placa base, ASUS";"949,27 €";"Estados Unidos"
"   AWFSR ";"Placa base, ASUS";"603,17 £";"Tailandia"
" G7P5P  ";"Procesador, Intel";"920,32 TL";"Taiwán"
"   GP0IF   ";"Memoria RAM, Kingston";"L265,59 £";"China"
"  JA789  ";"Tarjeta gráfica, NVIDIA";"776,40 TL";"Tailandia"
" GYTWB   ";"Tarjeta gráfica, NVIDIA";"501,40 €";"Taiwán"
"   ESPMO  ";"Placa base, ASUS";"342,37 TL";"Taiwán"
"  4HW8V ";"Procesador, Intel";"979,24 £";"Corea del Sur"
"  8GRD3  ";"Disco duro, Seagate";"786,57 €";"Estados Unidos"
"  VK3WL   ";"Disco duro, Seagate";"517,52 TL";"Taiwán"
"  8WHC3   ";"Memoria RAM, Kingston";"962,76 €";"China"
"   VY04F  ";"Tarjeta gráfica, NVIDIA";"O492,18 £";"Taiwán"
"  8YGPY ";"Procesador, Intel";"346,32 TL";"Estados Unidos"
"   GUAI2 ";"Tarjeta gráfica, NVIDIA";"42,84 TL";"Estados Unidos"
"  UX5YV ";"Disco duro, Seagate";"498,53 £";"Taiwán"
"  IUWE7   ";"Memoria RAM, Kingston";"577,81 £";"Taiwán"
"   28R4C  ";"Tarjeta gráfica, NVIDIA";"496,23 €";"Tailandia"
"  OUH40 ";"Procesador, Intel";"821,45 £";"China"
"  V9RD9 ";"Memoria RAM, Kingston";"280,33 €";"Taiwán"
"  V9D4V   ";"Disco duro, Seagate";"720,34 €";"Estados Unidos"
"  XEU7W ";"Disco duro, Seagate";"H551,42 TL";"Estados Unidos"
"  XJA24  ";"Placa base, ASUS";"951,61 €";"Tailandia"
"  GOAUM   ";"Placa base, ASUS";"539,55 €";"Estados Unidos"
" UWAZO ";"Placa base, ASUS";"367,37 TL";"Tailandia"
"  RRBGR   ";"Disco duro, Seagate";"879,38 TL";"Tailandia"
" XS2NL ";"Tarjeta gráfica, NVIDIA";"128,60 €";"Corea del Sur"
"  X5NC5  ";"Memoria RAM, Kingston";"220,88 £";"Estados Unidos"
"   12BH4   ";"Tarjeta gráfica, NVIDIA";"673,64 £";"Estados Unidos"
" IYV9S ";"Disco duro, Seagate";"278,31 TL";"Tailandia"
"  IC7U0  ";"Procesador, Intel";"706,20 TL";"Estados Unidos"
" I7H2Y  ";"Memoria RAM, Kingston";"275,96 £";"Tailandia"
"   OB64M  ";"Placa base, ASUS";"Y210,79 €";"China"
"   YM7RJ   ";"Memoria RAM, Kingston";"345,40 TL";"China"
"  M3NCC ";"Procesador, Intel";"551,57 €";"Tailandia"
"   FIK43 ";"Disco duro, Seagate";"692,14 €";"China"
"   AZ5HE  ";"Tarjeta gráfica, NVIDIA";"168,17 TL";"Corea del Sur"
"   7539B ";"Memoria RAM, Kingston";"262,75 €";"Estados Unidos"
" THWXU   ";"Placa base, ASUS";"b306,61 £";"Taiwán"
"   GD5MF   ";"Disco duro, Seagate";"462,52 TL";"Corea del Sur"
" 4O4RR  ";"Procesador, Intel";"195,22 €";"China"
" 0K1CA  ";"Disco duro, Seagate";"540,48 £";"China"
"   SOHA3   ";"Placa base, ASUS";"439,18 £";"Estados Unidos"
" AO93G ";"Placa base, ASUS";"72,95 TL";"Estados Unidos"
"   6NP23  ";"Tarjeta gráfica, NVIDIA";"739,23 TL";"Estados Unidos"
"   Q7J8K  ";"Memoria RAM, Kingston";"99,27 TL";"China"
" XRIZA   ";"Procesador, Intel";"721,21 TL";"Tailandia"
" BOVRF  ";"Placa base, ASUS";"k893,15 €";"Taiwán"
"  VSUOH   ";"Memoria RAM, Kingston";"576,27 £";"Tailandia"
"   6RO7H   ";"Placa base, ASUS";"60,49 €";"China"
"  5PF4K ";"Memoria RAM, Kingston";"235,10 €";"Taiwán"
" AZ4CU  ";"Tarjeta gráfica, NVIDIA";"c260,51 TL";"Corea del Sur"
"  2VBEA   ";"Tarjeta gráfica, NVIDIA";"59,55 £";"Taiwán"
"  7X8KH  ";"Disco duro, Seagate";"723,84 €";"Corea del Sur"
"  M4E7B  ";"Placa base, ASUS";"650,82 TL";"Taiwán"
"  0JFT5   ";"Procesador, Intel";"577,86 €";"Tailandia"
"   DK2Q4  ";"Disco duro, Seagate";"674,75 TL";"Estados Unidos"
"   A9HOM   ";"Disco duro, Seagate";"535,18 €";"Corea del Sur"
"   NQQYA  ";"Tarjeta gráfica, NVIDIA";"691,12 €";"China"
"  GDH8R   ";"Disco duro, Seagate";"196,46 £";"Tailandia"
"   953O3   ";"Memoria RAM, Kingston";"935,86 £";"Corea del Sur"
"  CTLX5 ";"Disco duro, Seagate";"u690,39 €";"Taiwán"
"  8109N  ";"Tarjeta gráfica, NVIDIA";"E765,57 €";"China"
" 1XJ9K  ";"Disco duro, Seagate";"520,85 €";"Taiwán"
" Q4KXF   ";"Procesador, Intel";"811,16 €";"Corea del Sur"
"   XVWYE   ";"Procesador, Intel";"249,65 €";"China"
" LDR1R ";"Disco duro, Seagate";"37,28 TL";"Tailandia"
"   ZY9B0   ";"Disco duro, Seagate";"66,60 TL";"China"
"   K9X6W  ";"Tarjeta gráfica, NVIDIA";"289,71 £";"Corea del Sur"
"   28T6P  ";"Tarjeta gráfica, NVIDIA";"701,59 £";"Corea del Sur"
"  X5XJ8  ";"Procesador, Intel";"607,99 £";"Tailandia"
"   KHALP  ";"Disco duro, Seagate";"99,59 €";"Corea del Sur"
" WE9ST   ";"Disco duro, Seagate";"799,60 TL";"Tailandia"
"  L2ANR  ";"Placa base, ASUS";"695,69 €";"Tailandia"
"  GNZKV  ";"Placa base, ASUS";"483,54 €";"Estados Unidos"
"   4SSU8 ";"Tarjeta gráfica, NVIDIA";"643,53 TL";"Tailandia"
"  6DNAS ";"Placa base, ASUS";"709,57 TL";"Taiwán"
"  FY5UU  ";"Placa base, ASUS";"150,52 €";"Estados Unidos"
" L7WBB   ";"Tarjeta gráfica, NVIDIA";"547,64 £";"Taiwán"
"  JUUCS ";"Disco duro, Seagate";"818,76 TL";"Estados Unidos"
" Z5ZVP   ";"Placa base, ASUS";"573,79 £";"Tailandia"
" RFCZ1  ";"Tarjeta gráfica, NVIDIA";"903,22 TL";"Tailandia"
"  ZZLSP ";"Placa base, ASUS";"255,59 £";"Tailandia"
"   GXKLN  ";"Disco duro, Seagate";"787,53 TL";"China"
"   LTI1P   ";"Tarjeta gráfica, NVIDIA";"342,11 £";"Estados Unidos"
"  79YOT ";"Placa base, ASUS";"635,32 TL";"Estados Unidos"
"   YHZ85 ";"Disco duro, Seagate";"N294,33 €";"Taiwán"
"   GG78E   ";"Memoria RAM, Kingston";"415,75 €";"Estados Unidos"
"  4Y8OB  ";"Placa base, ASUS";"527,49 £";"China"
" QSGLE   ";"Disco duro, Seagate";"696,26 €";"Estados Unidos"
"   P6OW5 ";"Placa base, ASUS";"61,28 €";"Tailandia"
"  1KPSF  ";"Tarjeta gráfica, NVIDIA";"874,31 €";"Estados Unidos"
"   KZY3L  ";"Placa base, ASUS";"228,32 TL";"Taiwán"
" U0OPZ  ";"Placa base, ASUS";"627,83 TL";"Tailandia"
"  B1IMT   ";"Procesador, Intel";"370,51 TL";"Tailandia"
" E66AZ   ";"Disco duro, Seagate";"676,86 TL";"Estados Unidos"
"   6SHU9 ";"Procesador, Intel";"113,11 TL";"Estados Unidos"
"  FRVTN ";"Memoria RAM, Kingston";"72,34 £";"Taiwán"
"   KAEOY   ";"Memoria RAM, Kingston";"180,74 TL";"Corea del Sur"
"   878Z3  ";"Memoria RAM, Kingston";"L665,20 TL";"China"
" N2MOW  ";"Placa base, ASUS";"646,36 €";"Tailandia"
"  W7317 ";"Procesador, Intel";"J717,88 £";"China"
" HFGLB  ";"Memoria RAM, Kingston";"22,81 £";"Taiwán"
"   XTBSB ";"Disco duro, Seagate";"630,77 TL";"Estados Unidos"
"   3X6SC ";"Placa base, ASUS";"544,61 €";"Corea del Sur"
" 8VOCT   ";"Tarjeta gráfica, NVIDIA";"373,78 TL";"Estados Unidos"
"  RZGOU   ";"Placa base, ASUS";"758,73 TL";"Taiwán"
"   GVI3P ";"Placa base, ASUS";"812,68 £";"Taiwán"
" DHUOH ";"Placa base, ASUS";"65,53 £";"Estados Unidos"
"  UP8R7  ";"Memoria RAM, Kingston";"25,23 €";"China"
"  WR6IF   ";"Procesador, Intel";"147,59 TL";"Corea del Sur"
"  G87OE ";"Memoria RAM, Kingston";"930,98 TL";"China"
"   FGD6G  ";"Memoria RAM, Kingston";"220,12 £";"Taiwán"
"  VDXA2  ";"Disco duro, Seagate";"549,93 TL";"Taiwán"
" XAHJQ  ";"Procesador, Intel";"584,15 £";"Estados Unidos"
"   XW7RA ";"Placa base, ASUS";"157,36 TL";"Taiwán"
"  J261I   ";"Tarjeta gráfica, NVIDIA";"767,55 €";"Tailandia"
"  WA4GS  ";"Procesador, Intel";"l204,44 £";"Corea del Sur"
"   GP6CU   ";"Disco duro, Seagate";"403,37 TL";"China"
" NR6IS  ";"Disco duro, Seagate";"583,84 €";"Tailandia"
" UGGS8 ";"Placa base, ASUS";"D468,30 TL";"China"
"   F98MY ";"Memoria RAM, Kingston";"843,98 £";"Corea del Sur"
"  SRFY8   ";"Procesador, Intel";"872,39 £";"China"
"  HJSL2   ";"Procesador, Intel";"682,90 £";"China"
" QAR7N  ";"Disco duro, Seagate";"f136,21 €";"Taiwán"
"   7YDTJ ";"Procesador, Intel";"154,21 TL";"Estados Unidos"
"   J6175   ";"Tarjeta gráfica, NVIDIA";"995,32 £";"Corea del Sur"
"  LFDGF  ";"Memoria RAM, Kingston";"934,82 €";"Tailandia"
"  PV2L4  ";"Procesador, Intel";"895,59 €";"Corea del Sur"
"  INGWD ";"Placa base, ASUS";"156,32 €";"Tailandia"
" 3T2V2   ";"Placa base, ASUS";"86,85 TL";"Taiwán"
"   IA994  ";"Procesador, Intel";"26,58 €";"Estados Unidos"
"  KE81A ";"Placa base, ASUS";"389,16 £";"Corea del Sur"
" 92HJ6   ";"Memoria RAM, Kingston";"588,36 €";"Corea del Sur"
"  C96O4 ";"Placa base, ASUS";"F362,47 TL";"China"
" 5AM9V   ";"Memoria RAM, Kingston";"245,29 TL";"Estados Unidos"
" ROJ01   ";"Placa base, ASUS";"N534,56 TL";"China"
"  PTTO5   ";"Disco duro, Seagate";"274,33 £";"Taiwán"
" WS9YY ";"Placa base, ASUS";"689,76 €";"Taiwán"
" GU925  ";"Memoria RAM, Kingston";"524,13 €";"Taiwán"
" 034NP   ";"Tarjeta gráfica, NVIDIA";"626,65 £";"Taiwán"
" LX2QE ";"Placa base, ASUS";"882,20 £";"Tailandia"
"  ZXJYV  ";"Disco duro, Seagate";"934,48 €";"Taiwán"
" HYIMZ ";"Procesador, Intel";"250,59 TL";"Estados Unidos"
"   XEVVY  ";"Procesador, Intel";"55,81 TL";"Corea del Sur"
"  FM8CN  ";"Memoria RAM, Kingston";"Y671,91 TL";"Corea del Sur"
"  5OA6Q  ";"Memoria RAM, Kingston";"370,11 TL";"China"
" R7CW7   ";"Memoria RAM, Kingston";"101,95 €";"Estados Unidos"
"   5CTQB  ";"Disco duro, Seagate";"932,20 TL";"China"
"  EW08T   ";"Tarjeta gráfica, NVIDIA";"55,22 €";"Corea del Sur"
"  RFY9T ";"Disco duro, Seagate";"541,51 £";"Taiwán"
"  VIPG8  ";"Placa base, ASUS";"387,26 TL";"Taiwán"
"   WL5HJ ";"Disco duro, Seagate";"972,65 €";"China"
